ID,Category,Concepts,Question,Constraints,Sample Input,Sample Output,Test Cases,Solution_C,Solution_Python,Solution_Java,Solution_Javascript,Solution_C++,QC Score
White-1,String Reversal,,Write a function that reverses a given string.  The function should take a string as input and return the reversed string.,"- The input string will only contain lowercase letters.
- The length of the input string will be between 1 and 1000 characters (inclusive).","**  ""hello""

**","** ""olleh""","abcde
hello
madam
a
racecar",,,,,,
White-2,Break & Continue,,"Given an array of integers, calculate the sum of only the even numbers. Skip odd numbers using a loop and the `continue` statement.  If the input array is empty, return 0.","- The array will contain only integers.
- The array size will be at most 100.
- Integers in the array will be within the range of -1000 to 1000.","** `[1, 2, 3, 4, 5, 6]`
**",** `12` (2 + 4 + 6),"[2, 4, 6, 8, 10]
[1, 3, 5, 7, 9]
[-2, 0, 2, 4]
[]
[-1, -2, -3, -4]",,,,,,
White-3,Modulo Arithmetic,,"Given two integers, `a` and `b`, find the remainder when `a` is divided by `b`.  This is the modulo operation (%).","- `1 ≤ a, b ≤ 1000`
- `b > 0`","**
`a = 17`
`b = 5`

**","**
`2`  (Because 17 divided by 5 leaves a remainder of 2)","10 3
25 7
100 11
5 5
1000 1",,,,,,
White-4,Intro to Recursion (factorial),,"Write a function that calculates the factorial of a non-negative integer using recursion. The factorial of a non-negative integer n, denoted by n!, is the product of all positive integers less than or equal to n. For example, 5! = 5 * 4 * 3 * 2 * 1 = 120.","- The input integer n will be non-negative (0 or greater).
- The input integer n will be less than or equal to 12 (to avoid potential integer overflow).",5,120,"10
0
7
12
1",,,,,,
White-5,Parameters & Arguments,,"Write a function that takes two integer parameters, `a` and `b`, and returns their sum.  However, there's a twist! The function should also print the value of 'a' before calculating and returning the sum.","* -1000 ≤ a, b ≤ 1000","**

5 10

**","**

5
15","15 20
-5 10
0 0
100 -50
-20 -30",,,,,,
White-6,Intro to Time & Space Complexity,,"Given an integer `n`, count the number of sheep from 1 to n.  This seems simple, but we'll focus on understanding the time complexity.",- 1 ≤ n ≤ 100000,5,15 (1 + 2 + 3 + 4 + 5 = 15),"10
100
10000
50000
78945",,,,,,
White-7,"Basic Array Operations (sum, max, min)",,"Given an array of integers, find the sum, maximum, and minimum values within the array.","* The array will contain at least one integer.
* The integers in the array will be within the range of a 32-bit integer.","[1, 5, 2, 8, 3]","Sum: 19, Max: 8, Min: 1","[10, 20, 30, 40, 50]
[-5, 0, 5, 10, -15]
[1, 1, 1, 1, 1]
[100, -10, 50, 20, -50]
[-1, -2, -3, -4, -5]",,,,,,
White-8,1D Array Declaration & Traversal,,"Given an array of integers, find the sum of all even numbers in the array.","* The array will contain at least one element.
* The array will contain only integers between -100 and 100 (inclusive).
* The size of the array will not exceed 100 elements.","**  `[1, 2, 3, 4, 5, 6]`
**",** `12` (2 + 4 + 6),"[1, 2, 3, 4, 5, 6]
[10, -20, 30, -40]
[-1, -2, -3, -4]
[1, 3, 5, 7, 9]
[2, 4, 6, 8, 10]",,,,,,
White-9,Bitwise Operators,,"Given an 8-bit unsigned integer, write a function that flips all its bits (0s become 1s and vice-versa).",- The input will always be an 8-bit unsigned integer (0-255).,10 (binary: 00001010),245 (binary: 11110101),"15
255
0
128
64",,,,,,
White-10,1D Array Declaration & Traversal,,"Given an array of integers, calculate the sum of all the digits present in each integer within the array.  For example, if the array contains [123, 45, 6], the function should return 1 + 2 + 3 + 4 + 5 + 6 = 21.","- The array will contain only positive integers.
- The array size will be between 1 and 100.
- Each integer in the array will be between 0 and 1000.","** [12, 4, 87]

**",** 22 (1 + 2 + 4 + 8 + 7),"[1,2,3]
[999,1]
[100,200,300]
[1,10,100,1000]
[5,5,5,5]",,,,,,
